animal_id,yr,animal_yr,avg_biom_herd,avg_dn_herd,avg_de_herd,avg_mosq_herd,alive_june1,Next_Yr_Calf_Present,Current_Calf_Present,avg_dist_m,avg_sinuosity,avg_biom,avg_dn,avg_de,HR_area_km2,centroid_x,centroid_y,resource_vol,move_vol,avg_dist_m_unscaled,avg_sinuosity_unscaled,avg_biom_unscaled,avg_dn_unscaled,avg_de_unscaled,HR_area_km2_unscaled,centroid_x_unscaled,centroid_y_unscaled,resource_vol_unscaled,move_vol_unscaled
1602,2019,1602_2019,0.2559900230674113,0.1312868592727756,0.727219441381381,0.38473190685408903,1,0,1,1.2440603812441402,-1.371957200364579,1.4385054249333529,-1.4520619124210044,-1.3342581254095967,1.3695216722555916,-0.4584174861654469,0.39984785019068053,-0.5354696928409329,-0.7185729535044271,16585.977306006072,0.031982077013681984,53.58085291178239,0.6912700403620831,9.565399979543708,1223.748010701031,-149.5235936486112,70.23913146304716,2.572661758189792,4.404135119562265
1602,2020,1602_2020,-0.11804797647289467,0.020043435696366286,0.754992210519544,-1.5603343540484873,1,NA,0,0.9205811286049908,-0.9293007318814298,0.9224898481028209,-1.4248402092426347,-0.4473322150189076,0.061261489458780904,-0.7508022148212807,0.26960283757296283,1.861194100066517,-0.4171096796629057,15724.510871518962,0.03517430355994695,46.21168466067323,0.6979938269012406,10.047397534727477,896.8183856097096,-149.85008081160345,70.22416660096026,23.052094866848062,5.355127541967994
1608,2017,1608_2017,-0.39290908841882816,0.8720871165243094,-0.10680811517783818,0.9842994238102594,1,1,0,0.1871951050944127,0.04249694146298457,0.7983567278172772,-1.6490635050076021,-1.2951412235380408,-0.43085200718656075,-0.14372259191801123,0.40075470406393093,-0.45350775474106453,0.4029796295138903,13771.410517719407,0.04218244317005785,44.43895164641431,0.6426104598888494,9.586657957067612,773.8409510930554,-149.17219416306583,70.23923565853897,3.2730245014913777,7.942171425572445
1613,2018,1613_2018,-1.0786737894233973,0.2853942487002068,-1.761855206375396,-0.9002796531579359,0,NA,1,-0.7383480334045566,1.9129058076566319,-1.6419903339090065,0.24521420728596988,-4.667715612707052,-0.7828531577702984,-0.2095492712496924,-1.0819624518558615,-0.25648578326297883,0.772220571381625,11306.571301659525,0.05567093652810759,9.588592671947008,1.1104988539356337,7.753841268310831,685.8770997847959,-149.24569856900044,70.06887475714043,4.956572397429924,9.106974465370806
1615,2019,1615_2019,0.2559900230674113,0.1312868592727756,0.727219441381381,0.38473190685408903,1,1,1,-0.45269609108752457,-0.04358253049184577,-1.3853984406176332,0.9701805710623812,-1.5837635823625822,0.7973561024861942,-0.5054788435665712,1.008668974225059,-0.673555504271018,-0.10679748123216125,12067.298792663965,0.04156167922549315,13.252956536985469,1.2895662343328713,9.42980689465641,1080.7658442523225,-149.57614403020978,70.30908365525514,1.3927218989546297,6.334034675587317
1615,2020,1615_2020,-0.11804797647289467,0.020043435696366286,0.754992210519544,-1.5603343540484873,NA,NA,1,-1.659402262979548,0.21613491781485264,-1.4675019046426503,0.9006044787867876,-1.5045190802190713,-0.07479881804311682,-0.7100075262305192,0.7629304405706822,-0.7396292913497952,-0.5302894401490923,8853.686621582792,0.043434637133131636,12.08044495484394,1.272380873460171,9.472872111093826,862.8173926066886,-149.8045280147649,70.28084884463426,0.8281230149893485,4.998092029082795
1617,2017,1617_2017,-0.39290908841882816,0.8720871165243094,-0.10680811517783818,0.9842994238102594,0,NA,1,0.02032590624922215,0.07447251272024778,-1.2411025304692216,1.0047756914399477,-0.7841252174188466,-0.21879837496711615,-0.23450306280970054,0.2565489684570898,-0.7262704676071375,0.09608666700850622,13327.016595753577,0.04241303568291369,15.313632391698656,1.2981112619232114,9.864368262656415,826.832409055606,-149.2735628581163,70.22266674045049,0.9422738349991184,6.974050572530518
1618,2017,1618_2017,-0.39290908841882816,0.8720871165243094,-0.10680811517783818,0.9842994238102594,NA,NA,1,-0.8493928635962669,1.5781626632652273,-1.089855707737183,1.1273519751868275,-0.3116149295909351,0.03718813697827861,-0.5412956649409039,1.2635824979411643,-0.7633657562654195,1.2778934966336235,11010.84478086101,0.053256929215917764,17.47357355278518,1.3283877204268113,10.121152736831839,890.802539370075,-149.61613836387988,70.33837265181498,0.6252955066362339,10.702164201096931
1619,2020,1619_2020,-0.11804797647289467,0.020043435696366286,0.754992210519544,-1.5603343540484873,1,NA,1,0.10966650133283773,-0.21889831846392735,-1.1585280132193367,0.9228907215653691,-0.12946806610280182,-0.5187951513558007,2.029289733267294,-1.1249049563887137,-0.7143565166689381,-0.7478064579341938,13564.941975120935,0.04029738568820094,16.492871039117162,1.277885596593075,10.22013997111728,751.8642682201295,-146.7457314936286,70.06394075893901,1.0440782524650756,4.3119154576485315
1621,2019,1621_2019,0.2559900230674113,0.1312868592727756,0.727219441381381,0.38473190685408903,1,1,1,0.7385720988181937,-1.5311040034995278,-1.0960518737002614,1.1505132315151156,0.1967961619057538,0.4653204253393773,-0.46851528518316,0.5552770519656614,-0.6773329666497205,-1.1792696922564414,15239.797652183688,0.030834386454767385,17.385086709472862,1.3341085727375463,10.397447408414688,997.7912946375144,-149.53486920930453,70.25698993242031,1.360443575923236,2.9508267215034176
1621,2020,1621_2020,-0.11804797647289467,0.020043435696366286,0.754992210519544,-1.5603343540484873,1,NA,1,-0.27523575519958343,-0.1584199081386774,-1.095962932077307,1.041559304632068,0.25221016549584524,-0.9549808976096321,-0.8849772557194866,0.8272457497675032,-0.6662684334474355,-0.910690695477543,12539.898261016291,0.04073352703179799,17.38635687613741,1.3071968493172903,10.427562003039174,642.8629821089162,-149.99990542333543,70.28823853052597,1.4549897397470066,3.7980827985018277
1623,2017,1623_2017,-0.39290908841882816,0.8720871165243094,-0.10680811517783818,0.9842994238102594,1,1,1,0.12952283023123187,0.648570058702939,-0.798518217187224,1.1285442680563245,0.584096900715143,-0.5949192884142561,-0.424427721422801,1.0103297148978625,-0.5177825798457047,0.357957636589817,13617.821907044065,0.04655315235784099,21.634135911978564,1.3286822178979698,10.607924977104458,732.8411137160177,-149.4856394712073,70.30927447066243,2.7237977033077496,7.8001455875099746
