animal_id,yr,animal_yr,avg_biom_herd,avg_dn_herd,avg_de_herd,avg_fly_herd,alive_june1,Next_Yr_Calf_Present,Current_Calf_Present,avg_dist_m,avg_sinuosity,avg_biom,avg_dn,avg_de,HR_area_km2,centroid_x,centroid_y,resource_vol,move_vol,avg_dist_m_unscaled,avg_sinuosity_unscaled,avg_biom_unscaled,avg_dn_unscaled,avg_de_unscaled,HR_area_km2_unscaled,centroid_x_unscaled,centroid_y_unscaled,resource_vol_unscaled,move_vol_unscaled
1621,2019,1621_2019,0.49997190170103284,-0.2720244745375989,0.7760228782715608,0.7054096785465599,1,1,1,-0.10286002942600658,-0.30988036638349814,-1.1114144010784084,1.0460454451608985,0.200862603711539,-0.2512635306393899,-0.545736936489129,-0.8642429680290057,-0.6870861490167136,-0.5396501410411605,12160.118681367783,0.04186716100088353,17.9763341628271,1.3112505523703057,10.454949373027086,754.736509660164,-149.8691540295315,69.38400286389579,1.1838581986070669,3.4678930012503164
1623,2016,1623_2016,1.1537994945262657,-0.8009091688172254,0.08129318984704377,-1.3696155774678103,1,1,NA,0.32951078202796613,-0.6970377881838047,-1.193940686576033,0.9978519365903895,0.31841326583781077,-0.39515791313757515,-0.7568777839495276,-1.3577646452935972,-0.605144012326073,-0.5779158626906479,13470.652709311602,0.038875564981544666,16.881345688104744,1.2991073298161808,10.513528155262078,693.7793510517043,-150.19942589178993,69.24567589493883,1.9955961718830986,3.3796988263379792
1623,2017,1623_2017,-0.3661645006384311,0.8124679286942499,0.3108554617286773,1.0270531923306805,1,1,1,-0.6932477208212932,1.013853917995768,-0.5057188621399354,1.0660883940740278,0.6906927043814907,-1.1056298343936473,-0.8234168807978297,1.6439198699956112,-0.5575831946284785,-0.47663167092663167,10370.628875960134,0.052095760513187275,26.012920691945347,1.31630073436602,10.699045410261371,392.80617309314425,-150.30350803266134,70.08700453336131,2.466744757023738,3.6131368836706836
1623,2018,1623_2018,-1.464029229611552,0.9395683079512698,-1.676981914319078,-0.08191650624199141,1,1,1,2.1598495369743818,-0.7977537715645424,-0.6833089739614652,1.10654168035016,0.9176910557927893,1.7895019255412083,0.6350446279285653,1.0533408685975627,-0.6215701081030813,0.6002457950247743,19018.486090929575,0.03809732461212454,23.656591135893446,1.3264936684948583,10.812165036765396,1619.2543694635865,-148.0221455946819,69.92147380400041,1.832875424861259,6.095105483694329
1623,2019,1623_2019,0.49997190170103284,-0.2720244745375989,0.7760228782715608,0.7054096785465599,1,NA,1,-0.07747176990696736,0.3674979446093495,-0.5610560264976787,1.0813224183257688,0.5100119427045595,-0.6572660634408231,-0.800946079255079,0.8311758788101077,-0.4736910542175321,-0.4087845644556737,12237.071558686403,0.04710131678518853,25.278687267646976,1.3201392211741174,10.609007133990701,582.7439665341291,-150.26835863565347,69.85920417925772,3.297799923281663,3.769509723838348
1624,2016,1624_2016,1.1537994945262657,-0.8009091688172254,0.08129318984704377,-1.3696155774678103,0,NA,NA,-1.0820714084062626,1.5950094369123393,-0.6275504814732706,1.0362479681942676,0.7579479108337271,-1.202250566098099,-0.8609153431054701,-0.5507253006997784,-0.504978316511951,-0.220313656232224,9192.088003283894,0.056586395172657594,24.396414893552134,1.3087819015747189,10.732560560424481,351.87528221943023,-150.36216407732127,69.47187731933305,2.987860984538709,4.203894220699618
1625,2016,1625_2016,1.1537994945262657,-0.8009091688172254,0.08129318984704377,-1.3696155774678103,1,1,NA,-0.6891715356448003,1.1335671728311993,0.46319632655755016,0.537679779349145,-0.7057051994422185,-1.1504066197174172,-1.0073078394107893,0.8048067110539223,-0.05050282545540893,0.00322863699527587,10382.983963853394,0.053020794301671635,38.868836333971004,1.183158666099017,10.00318128459936,373.83763827217996,-150.59115492848514,69.85181328394822,7.490001506046545,4.719110640496974
1626,2016,1626_2016,1.1537994945262657,-0.8009091688172254,0.08129318984704377,-1.3696155774678103,1,0,NA,0.7160181963109002,-0.09492817217404485,0.6823181743335865,0.33418884532700327,-0.9139894336839365,0.3646985115769473,-0.6270266536240785,-1.308903434485752,-0.38202642700927975,0.2322898991174976,14642.172860653469,0.04352811360655729,41.776223918760984,1.1318854599583519,9.899387426020143,1015.6730052502229,-149.99630946432086,69.25937098373022,4.205851161828737,5.247047084562928
1626,2017,1626_2017,-0.3661645006384311,0.8124679286942499,0.3108554617286773,1.0270531923306805,1,1,0,0.3910306273886741,0.5531053917540484,0.5847047178600935,0.45946170522850105,-0.8505345706714044,-0.14062264374352793,-0.8745772302157222,1.5564278406109884,-0.047997808310742456,0.9006533829667674,13657.121935733081,0.04853552020935569,40.481053426453244,1.1634502134468845,9.931008758770863,801.6066791136293,-150.3835343472247,70.06248178635707,7.514816791834248,6.787479708297627
1631,2018,1631_2018,-1.464029229611552,0.9395683079512698,-1.676981914319078,-0.08191650624199141,1,1,1,0.6874730884844494,-1.5090368554445108,-0.2752449263306652,0.13687326439433017,0.9958270765563664,4.526265123591012,-0.10075992863485317,1.6152469513719065,0.6774664896836592,0.5861905929750529,14555.651443973908,0.032601183966121564,29.070931868788097,1.082168245260103,10.85110240098119,2778.6137929589477,-149.17310972160203,70.07896793009324,14.70143582230136,6.062711296558492
1631,2019,1631_2019,0.49997190170103284,-0.2720244745375989,0.7760228782715608,0.7054096785465599,1,1,1,-1.583063202206874,1.1025936767690736,0.025267852226565378,-0.08658001072842601,0.7257682206039467,-0.7633700423363853,1.4425212165761918,-0.3390699768280973,1.3301721586294855,-0.7972946033274955,7673.560905470752,0.05278145964784119,33.05824363306751,1.0258651677140085,10.716524520879805,537.7957416052858,-146.75907025956582,69.53120123713347,21.167290854323955,2.874078490701801
1634,2016,1634_2016,1.1537994945262657,-0.8009091688172254,0.08129318984704377,-1.3696155774678103,1,0,NA,-1.2652642745909395,0.39457713505395553,-0.20293107566306248,-0.2731875881274692,1.0438840608894793,0.5534116518317339,0.36521246552963216,-0.7486117482303771,1.3395588052772214,2.4501165683974273,8636.822757685475,0.047310559831503646,30.03041808056117,0.9788460273804633,10.87505054018517,1095.6164792225761,-148.44422389854694,69.41641261789118,21.26027717166222,10.358655719241337
